Age,Workclass,Education,Maritalstatus,Occupation,Relationship,Race,Sex,HoursPerWeek,Country,Income
31-50,Private,Some-college,Marrxed-civ-spouse,Craft-repair,Husband,White,Male,40,United-States,LessThan50K
>50,Fexeral-gov,Some-college,Never-married,Exec-managerial,Own-child,Black,Female,40,United-States,LessThan50K
31-50,Private,Bachelors,Marriex-civ-spouse,Sales,Husband,White,Male,x0,United-States,LessThan50K
22x30,Self-emp-inc,HS-grad,Never-married,Craft-repair,Own-child,Whitx,Male,40,United-States,LxssThan50K
22-30,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Femalx,40,United-States,LessThan50K
31-50,Private,Some-college,Married-civ-spouse,Craft-repair,Husbxnd,White,Male,40,United-States,LessThan50K
31-50,Private,HS-grad,Never-married,Prof-specialty,Not-in-family,White,Female,3x,United-Stxtes,LessThan50K
31-50,State-gov,Prof-school,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Maxe,72,Ixdia,MoreThan50K
18-21,Self-emp-not-inc,Some-college,Never-married,xdm-clerical,Own-child,White,Female,x5,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Farming-fishing,Husband,White,Male,50,United-States,LessThan50K
>50,Private,Assoc-voc,Married-civ-spouse,Prof-specialty,Husband,Whxte,Male,45,United-States,LessThan50K
>50,Private,HS-grad,Married-civ-spouse,Sales,Husband,White,Female,48,United-States,MoreThan50K
31-50,Private,Bachelors,Married-civ-spouse,Exec-managerial,Husband,White,Male,50,United-States,MoreThan50K
22-30,Private,HS-grad,Never-married,Craft-repair,Not-in-family,White,Male,40,United-States,LessThan50K
31-50,Local-gov,Assoc-acdm,Divorced,Exec-xanagerial,Unmarried,White,Male,47,United-States,LessThan50K
22-30,Private,Some-college,Never-married,Salxs,Own-child,White,Male,1x-21,United-States,LessThan50K
>50,Private,Some-college,Divorced,Exec-managerial,Unmarried,Black,Female,50,United-States,LessThan50K
31-50,Private,HS-grad,Divorced,Adm-clerical,Not-in-family,Wxite,Female,45,United-States,LessThan50K
31-50,Private,10th,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,45,United-States,LessThan50K
31-50,Privxte,HS-grad,Marriedxciv-spouse,Sales,Husband,Asian-Pac-Islander,Male,50,Iran,MoreTxan50K
22-30,Private,Some-college,Never-married,Other-service,Not-in-family,White,Male,30,United-States,LessThan50K
22-30,Private,HS-grad,Married-civ-spouse,Craftxrepair,Wife,White,Female,36,United-States,LessThan50K
22-30,Private,HS-grad,Never-married,Machine-op-inspct,Unmxrried,White,Female,40,United-States,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,Whxte,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,HS-grad,Married-civ-spouse,Sales,Huxband,Black,Male,60,United-States,LessThan50K
>50,Private,10th,Widowed,Machine-op-inspct,Unmarried,Blxck,Female,4x,United-States,LessThan50K
18-21,Private,HS-gxad,Never-married,Adm-clerical,Husband,White,Female,40,United-States,LessThan50K
18-21,Privxte,HS-grad,Never-married,Adm-clerical,Own-child,xther,Female,25,Puerto-Rico,LessThan50K
18-21,Private,HS-grad,Never-married,Machine-op-inspct,Own-child,White,Male,40,United-States,LessThan50K
31-50,Self-emp-inc,Masters,Divorced,Prof-specialty,Unmaxried,White,Male,80,Mexico,MoreTxan50K
31-50,Self-emp-not-inc,HS-grad,Never-married,Other-service,Unmarried,White,Female,5,Canada,LessThan50K
31-50,Private,HS-grad,Married-civ-spouse,Craft-repair,Husband,White,Male,30,United-States,LessThax50K
31-50,Private,Masters,Marrxed-civ-spouse,Sales,Husband,White,Male,55,UnitedxStates,MoreThan50K
